,,,,,2022 ESPN Fantasy Football Draft Kit,,,,,,,,,,
,,,,,,,PPR Top 300 Cheat Sheet,,,,,,,,
,RANKINGS 1-80,,,,RANKINGS 81-160,,,,RANKINGS 161-240,,,,RANKINGS 241-300,,
27. (WR12),"DJ Moore, CAR",$30,13,107. (RB38),"James Cook, BUF",$2,7,187. (QB19),"Daniel Jones, NYG",$0,9,267. (QB28),"Deshaun Watson, CLE",$0,9
28. (RB14),"Saquon Barkley, NYG",$29,9,108. (RB39),"Ken Walker III, SEA",$2,11,188. (QB20),"Jameis Winston, NO",$0,14,268. (QB29),"Davis Mills, HOU",$0,6
29. (RB15),"Cam Akers, LAR",$28,7,109. (TE10),"Pat Freiermuth, PIT",$2,9,189. (DST11),"Chargers D/ST, LAC",$0,8,269. (QB30),"Marcus Mariota, ATL",$0,14
30. (WR13),"Michael Pittman Jr., IND",$26,14,110. (TE11),"Cole Kmet, CHI",$2,14,190. (DST12),"Bengals D/ST, CIN",$0,10,270. (QB31),"Kenny Pickett, PIT",$0,9
31. (WR14),"A.J. Brown, PHI",$26,7,111. (WR48),"Jakobi Meyers, NE",$2,10,191. (K11),"Greg Joseph, MIN",$0,7,271. (WR97),"Terrace Marshall Jr., CAR",$0,13
32. (WR15),"Terry McLaurin, WAS",$25,14,112. (WR49),"Russell Gage, TB",$2,11,192. (K12),"Jake Elliott, PHI",$0,7,272. (WR98),"Zay Jones, JAC",$0,11
33. (RB16),"Nick Chubb, CLE",$24,9,113. (WR50),"Marquez Valdes-Scantling, KC",$2,8,193. (RB54),"Marlon Mack, HOU",$0,6,273. (WR99),"James Washington, DAL",$0,9
34. (WR16),"Diontae Johnson, PIT",$23,9,114. (WR51),"Skyy Moore, KC",$2,8,194. (RB55),"Rachaad White, TB",$0,11,274. (WR100),"Byron Pringle, CHI",$0,14
35. (WR17),"Jaylen Waddle, MIA",$22,11,115. (WR52),"Tyler Boyd, CIN",$2,10,195. (RB56),"Rex Burkhead, HOU",$0,6,275. (WR101),"Jauan Jennings, SF",$0,9
36. (WR18),"Mike Williams, LAC",$22,8,116. (WR53),"Treylon Burks, TEN",$2,6,196. (RB57),"Mike Davis, BAL",$0,10,276. (RB83),"Jeff Wilson Jr., SF",$0,9
