Rank,NameTeam,Position
76. (239),"LeSean McCoy, KC",RB
77. (240),"Frank Gore, BUF",RB
78. (241),"Jordan Wilkins, IND",RB
79. (242),"Giovani Bernard, CIN",RB
80. (250),"Myles Gaskin, MIA",RB
81. (264),"Patrick Laird, MIA",RB
82. (265),"Travis Homer, SEA",RB
83. (276),"Mike Boone, MIN",RB
84. (277),"T.J. Yeldon, BUF",RB
85. (278),"Javorius Allen, NYG",RB
1. (2),"Michael Thomas, NO",WR
2. (8),"DeAndre Hopkins, HOU",WR
3. (9),"Davante Adams, GB",WR
4. (10),"Julio Jones, ATL",WR
5. (11),"Tyreek Hill, KC",WR
6. (12),"Mike Evans, TB",WR
7. (13),"Chris Godwin, TB",WR
8. (19),"Amari Cooper, DAL",WR
9. (20),"Kenny Golladay, DET",WR
10. (21),"Allen Robinson II, CHI",WR
11. (22),"Keenan Allen, LAC",WR
12. (29),"DJ Moore, CAR",WR
13. (30),"Tyler Lockett, SEA",WR
14. (31),"Courtland Sutton, DEN",WR
15. (35),"A.J. Brown, TEN",WR
16. (36),"Terry McLaurin, WAS",WR
17. (37),"DJ Chark Jr., JAC",WR
18. (38),"Tyler Boyd, CIN",WR
19. (39),"Adam Thielen, MIN",WR
20. (40),"Odell Beckham Jr., CLE",WR
21. (45),"Julian Edelman, NE",WR
22. (46),"Jarvis Landry, CLE",WR
23. (47),"JuJu Smith-Schuster, PIT",WR
24. (48),"DeVante Parker, MIA",WR
25. (49),"Robert Woods, LAR",WR
26. (50),"Cooper Kupp, LAR",WR
27. (56),"Stefon Diggs, MIN",WR
28. (57),"Deebo Samuel, SF",WR
29. (58),"John Brown, BUF",WR
30. (59),"DK Metcalf, SEA",WR
31. (60),"Calvin Ridley, ATL",WR
32. (72),"Antonio Brown, FA",WR
33. (73),"T.Y. Hilton, IND",WR
34. (74),"A.J. Green, CIN",WR
35. (78),"Michael Gallup, DAL",WR
36. (79),"Sterling Shepard, NYG",WR
37. (80),"Darius Slayton, NYG",WR
38. (85),"Christian Kirk, ARI",WR
39. (86),"Brandin Cooks, LAR",WR
40. (87),"Mike Williams, LAC",WR
41. (91),"Alshon Jeffery, PHI",WR
42. (92),"Curtis Samuel, CAR",WR
43. (93),"Robby Anderson, NYJ",WR
44. (94),"Will Fuller V, HOU",WR
45. (95),"Preston Williams, MIA",WR
46. (96),"Marquise Brown, BAL",WR
47. (97),"Emmanuel Sanders, SF",WR
48. (98),"Marvin Jones Jr., DET",WR
49. (99),"N'Keal Harry, NE",WR
50. (100),"Mecole Hardman, KC",WR
51. (113),"Jamison Crowder, NYJ",WR
52. (114),"Anthony Miller, CHI",WR
53. (115),"Diontae Johnson, PIT",WR
54. (116),"James Washington, PIT",WR
55. (117),"Sammy Watkins, KC",WR
56. (118),"John Ross III, CIN",WR
57. (119),"Parris Campbell, IND",WR
58. (120),"Dede Westbrook, JAC",WR
59. (138),"Golden Tate, NYG",WR
60. (139),"Cole Beasley, BUF",WR
61. (140),"Mohamed Sanu, NE",WR
62. (141),"DeSean Jackson, PHI",WR
63. (142),"Jalen Hurd, SF",WR
64. (143),"Larry Fitzgerald, ARI",WR
65. (144),"Devin Funchess, IND",WR
66. (145),"Tyrell Williams, OAK",WR
67. (146),"Hunter Renfrow, OAK",WR
68. (147),"Andy Isabella, ARI",WR
69. (148),"JJ Arcega-Whiteside, PHI",WR
70. (149),"Hakeem Butler, ARI",WR
71. (168),"Chris Conley, JAC",WR
72. (196),"Corey Davis, TEN",WR
73. (197),"Randall Cobb, DAL",WR
74. (198),"Kenny Stills, HOU",WR
75. (213),"Nelson Agholor, PHI",WR
76. (214),"Demarcus Robinson, KC",WR
77. (215),"Steven Sims Jr., WAS",WR
78. (216),"Jakobi Meyers, NE",WR
79. (217),"Trent Taylor, SF",WR
80. (218),"Kelvin Harmon, WAS",WR
81. (225),"Adam Humphries, TEN",WR
82. (226),"Tajae Sharpe, TEN",WR
83. (227),"Breshad Perriman, TB",WR
84. (228),"Zach Pascal, IND",WR
85. (229),"Miles Boykin, BAL",WR
86. (230),"Danny Amendola, DET",WR
87. (231),"Auden Tate, CIN",WR
88. (232),"Kendrick Bourne, SF",WR
89. (233),"Demaryius Thomas, NYJ",WR
90. (234),"Josh Reynolds, LAR",WR
1. (169),Patriots D/ST (Wk 1: TBA),DST
2. (170),49ers D/ST (Wk 1: TBA),DST
3. (171),Steelers D/ST (Wk 1: TBA),DST
4. (172),Ravens D/ST (Wk 1: TBA),DST
5. (173),Vikings D/ST (Wk 1: TBA),DST
6. (174),Bills D/ST (Wk 1: TBA),DST
7. (175),Bears D/ST (Wk 1: TBA),DST
8. (176),Rams D/ST (Wk 1: TBA),DST
9. (177),Saints D/ST (Wk 1: TBA),DST
10. (178),Jets D/ST (Wk 1: TBA),DST
11. (179),Colts D/ST (Wk 1: TBA),DST
12. (180),Broncos D/ST (Wk 1: TBA),DST
13. (221),Buccaneers D/ST (Wk 1: TBA),DST
14. (222),Titans D/ST (Wk 1: TBA),DST
15. (253),Chiefs D/ST (Wk 1: TBA),DST
1. (181),"Harrison Butker, KC",K
2. (182),"Justin Tucker, BAL",K
3. (183),"Wil Lutz, NO",K
4. (184),"Greg Zuerlein, LAR",K
5. (185),"Matt Prater, DET",K
6. (186),"Michael Badgley, LAC",K
7. (187),"Matt Gay, TB",K
8. (188),"Joey Slye, CAR",K
9. (189),"Brandon McManus, DEN",K
10. (190),"Robbie Gould, SF",K
11. (191),"Zane Gonzalez, ARI",K
12. (192),"Ka'imi Fairbairn, HOU",K
13. (223),"Josh Lambo, JAC",K
14. (224),"Jason Myers, SEA",K
15. (255),"Austin Seibert, CLE",K
