depthChart,Name rank,team
QB1,Derek Carr (244),OAK
QB2,Marcus Mariota (316),OAK
RB1,Josh Jacobs (12),OAK
RB2,Lynn Bowden Jr. (239),OAK
RB3,Jalen Richard (241),OAK
WR1,Henry Ruggs III (100),OAK
WR2,Hunter Renfrow (227),OAK
WR3,Tyrell Williams (233),OAK
WR4,Bryan Edwards (251),OAK
TE1,Darren Waller (69),OAK
TE2,Jason Witten (333),OAK
QB1,Dak Prescott (75),DAL
QB2,Andy Dalton (336),DAL
RB1,Ezekiel Elliott (3),DAL
RB2,Tony Pollard (105),DAL
RB3,-,DAL
WR1,Amari Cooper (29),DAL
WR2,Michael Gallup (65),DAL
WR3,CeeDee Lamb (126),DAL
WR4,-,DAL
TE1,Blake Jarwin (211),DAL
TE2,-,DAL
QB1,Nick Foles (296),CHI
QB2,Mitchell Trubisky (315),CHI
RB1,David Montgomery (58),CHI
RB2,Tarik Cohen (71),CHI
RB3,-,CHI
WR1,Allen Robinson II (26),CHI
WR2,Anthony Miller (144),CHI
WR3,Ted Ginn Jr. (261),CHI
WR4,-,CHI
TE1,Jimmy Graham (248),CHI
TE2,Cole Kmet (328),CHI
QB1,Tom Brady (117),TB
QB2,Blaine Gabbert (344),TB
RB1,Ronald Jones II (60),TB
RB2,Ke'Shawn Vaughn (132),TB
RB3,LeSean McCoy (202),TB
WR1,Chris Godwin (21),TB
WR2,Mike Evans (22),TB
WR3,Scotty Miller (230),TB
WR4,Tyler Johnson (273),TB
TE1,Rob Gronkowski (113),TB
TE2,O.J. Howard (293),TB
QB1,Jimmy Garoppolo (168),SF
QB2,Nick Mullens (343),SF
RB1,Raheem Mostert (70),SF
RB2,Tevin Coleman (92),SF
RB3,Jerick McKinnon (142),SF
WR1,Deebo Samuel (68),SF
WR2,Brandon Aiyuk (145),SF
WR3,Trent Taylor (228),SF
WR4,-,SF
TE1,George Kittle (23),SF
TE2,Jordan Reed (325),SF
QB1,Carson Wentz (118),PHI
QB2,Jalen Hurts (317),PHI
RB1,Miles Sanders (8),PHI
RB2,Boston Scott (140),PHI
RB3,Corey Clement (308),PHI
WR1,Jalen Reagor (124),PHI
WR2,DeSean Jackson (125),PHI
WR3,Alshon Jeffery (194),PHI
WR4,-,PHI
TE1,Zach Ertz (42),PHI
TE2,Dallas Goedert (163),PHI
QB1,Matthew Stafford (121),DET
QB2,-,DET
RB1,D'Andre Swift (56),DET
RB2,Kerryon Johnson (84),DET
RB3,Bo Scarbrough (303),DET
WR1,Kenny Golladay (24),DET
WR2,Marvin Jones Jr. (77),DET
WR3,Danny Amendola (214),DET
WR4,-,DET
TE1,T.J. Hockenson (115),DET
TE2,-,DET
QB1,Matt Ryan (116),ATL
