depthChart,name rank,team
WR2,George Pickens (80),PIT
WR3,Allen Robinson II (233),PIT
WR4,-,PIT
TE1,Pat Freiermuth (88),PIT
TE2,-,PIT
K,Chris Boswell (347),PIT
QB1,Ryan Tannehill (243),TEN
QB2,Will Levis (318),TEN
RB1,Derrick Henry (10),TEN
RB2,Tyjae Spears (195),TEN
RB3,Hassan Haskins (281),TEN
WR1,DeAndre Hopkins (52),TEN
WR2,Treylon Burks (85),TEN
WR3,Nick Westbrook-Ikhine (272),TEN
WR4,-,TEN
TE1,Chigoziem Okonkwo (137),TEN
TE2,-,TEN
K,Caleb Shudak (357),TEN
QB1,Jimmy Garoppolo (220),OAK
QB2,Brian Hoyer (341),OAK
RB1,Josh Jacobs (18),OAK
RB2,Ameer Abdullah (238),OAK
RB3,Zamir White (242),OAK
WR1,Davante Adams (11),OAK
WR2,Jakobi Meyers (97),OAK
WR3,Hunter Renfrow (179),OAK
WR4,-,OAK
TE1,Austin Hooper (291),OAK
TE2,Michael Mayer (292),OAK
K,Daniel Carlson (152),OAK
QB1,Dak Prescott (91),DAL
QB2,-,DAL
RB1,Tony Pollard (20),DAL
RB2,Ronald Jones II (235),DAL
RB3,Malik Davis (240),DAL
WR1,CeeDee Lamb (14),DAL
WR2,Brandin Cooks (84),DAL
WR3,Michael Gallup (124),DAL
WR4,-,DAL
TE1,Jake Ferguson (324),DAL
TE2,Luke Schoonmaker (325),DAL
K,Tristan Vizcaino (356),DAL
QB1,Justin Fields (62),CHI
QB2,-,CHI
RB1,Khalil Herbert (113),CHI
RB2,D'Onta Foreman (165),CHI
RB3,Roschon Johnson (176),CHI
WR1,DJ Moore (53),CHI
WR2,Darnell Mooney (110),CHI
WR3,Chase Claypool (134),CHI
WR4,-,CHI
TE1,Cole Kmet (101),CHI
TE2,-,CHI
K,Cairo Santos (224),CHI
QB1,Baker Mayfield (296),TB
QB2,Kyle Trask (301),TB
RB1,Rachaad White (36),TB
RB2,Chase Edmonds (207),TB
RB3,Ke'Shawn Vaughn (276),TB
WR1,Chris Godwin (45),TB
WR2,Mike Evans (54),TB
WR3,Russell Gage (229),TB
WR4,-,TB
TE1,Cade Otton (257),TB
TE2,Ko Kieft (334),TB
K,Chase McLaughlin (354),TB
QB1,Brock Purdy (266),SF
QB2,Trey Lance (310),SF
RB1,Christian McCaffrey (4),SF
RB2,Elijah Mitchell (162),SF
RB3,-,SF
WR1,Deebo Samuel (38),SF
WR2,Brandon Aiyuk (68),SF
WR3,Jauan Jennings (275),SF
WR4,-,SF
TE1,George Kittle (71),SF
TE2,-,SF
K,Jake Moody (256),SF
QB1,Jalen Hurts (24),PHI
QB2,Marcus Mariota (337),PHI
RB1,D'Andre Swift (94),PHI
RB2,Rashaad Penny (114),PHI
RB3,Kenneth Gainwell (206),PHI
WR1,A.J. Brown (17),PHI
WR2,DeVonta Smith (29),PHI
WR3,-,PHI
WR4,-,PHI
TE1,Dallas Goedert (73),PHI
TE2,-,PHI
K,Jake Elliott (192),PHI
QB1,Jared Goff (215),DET
QB2,-,DET
RB1,Jahmyr Gibbs (34),DET
RB2,David Montgomery (78),DET
RB3,Justin Jackson (278),DET
WR1,Amon-Ra St. Brown (16),DET
WR2,Jameson Williams (183),DET
WR3,Marvin Jones Jr. (231),DET
WR4,-,DET
TE1,Sam LaPorta (259),DET
TE2,-,DET
K,Riley Patterson (345),DET
QB1,Desmond Ridder (270),ATL
QB2,Taylor Heinicke (319),ATL
RB1,Bijan Robinson (7),ATL
RB2,Tyler Allgeier (164),ATL
RB3,Cordarrelle Patterson (204),ATL
WR1,Drake London (67),ATL
WR2,Mack Hollins (260),ATL
WR3,-,ATL
WR4,-,ATL
TE1,Kyle Pitts (72),ATL
TE2,Jonnu Smith (323),ATL
K,Younghoe Koo (158),ATL
QB1,Kyler Murray (173),ARI
QB2,Colt McCoy (316),ARI
RB1,James Conner (59),ARI
RB2,Keaontay Ingram (213),ARI
RB3,Corey Clement (250),ARI
WR1,Marquise Brown (57),ARI
WR2,Rondale Moore (107),ARI
WR3,Michael Wilson (228),ARI
WR4,-,ARI
TE1,Zach Ertz (187),ARI
TE2,Trey McBride (289),ARI
K,Matt Prater (348),ARI
QB1,Daniel Jones (93),NYG
QB2,Tyrod Taylor (342),NYG
RB1,Saquon Barkley (9),NYG
RB2,Matt Breida (239),NYG
RB3,Gary Brightwell (283),NYG
WR1,Parris Campbell (171),NYG
WR2,Isaiah Hodgins (216),NYG
WR3,Wan'Dale Robinson (227),NYG
WR4,Darius Slayton (252),NYG
TE1,Darren Waller (58),NYG
TE2,Daniel Bellinger (330),NYG
K,Graham Gano (154),NYG
QB1,Jordan Love (245),GB
