depthChart,name rank,team,,,,,
WR1,Nico Collins (119),HOU,,,,,
WR2,Robert Woods (227),HOU,,,,,
WR3,Nathaniel Dell (234),HOU,,,,,
WR4,-,HOU,,,,,
TE1,Dalton Schultz (115),HOU,,,,,
TE2,Teagan Quitoriano (331),HOU,,,,,
K,Ka'imi Fairbairn (351),HOU,,,,,
QB1,Patrick Mahomes (26),KC,,,,,
QB2,-,KC,,,,,
RB1,Isiah Pacheco (76),KC,,,,,
RB2,Jerick McKinnon (114),KC,,,,,
RB3,Clyde Edwards-Helaire (200),KC,,,,,
WR1,Skyy Moore (86),KC,,,,,
WR2,Kadarius Toney (135),KC,,,,,
WR3,Marquez Valdes-Scantling (193),KC,,,,,
WR4,Rashee Rice (205),KC,,,,,
TE1,Travis Kelce (5),KC,,,,,
TE2,Noah Gray (327),KC,,,,,
K,Harrison Butker (154),KC,,,,,
QB1,Mac Jones (269),NE,,,,,
QB2,Matt Corral (319),NE,,,,,
RB1,Rhamondre Stevenson (33),NE,,,,,
RB2,Ezekiel Elliott (130),NE,,,,,
RB3,Kevin Harris (280),NE,,,,,
WR1,JuJu Smith-Schuster (100),NE,,,,,
WR2,DeVante Parker (197),NE,,,,,
WR3,Kendrick Bourne (231),NE,,,,,
WR4,Demario Douglas (273),NE,,,,,
TE1,Mike Gesicki (214),NE,,,,,
TE2,Hunter Henry (247),NE,,,,,
K,Chad Ryland (354),NE,,,,,
QB1,Kenny Pickett (182),PIT,,,,,
QB2,-,PIT,,,,,
RB1,Najee Harris (30),PIT,,,,,
RB2,Jaylen Warren (131),PIT,,,,,
RB3,Anthony McFarland Jr. (305),PIT,,,,,
WR1,Diontae Johnson (45),PIT,,,,,
WR2,George Pickens (81),PIT,,,,,
WR3,Allen Robinson II (232),PIT,,,,,
WR4,-,PIT,,,,,
TE1,Pat Freiermuth (92),PIT,,,,,
TE2,-,PIT,,,,,
K,Chris Boswell (348),PIT,,,,,
QB1,Ryan Tannehill (243),TEN,,,,,
QB2,Will Levis (318),TEN,,,,,
RB1,Derrick Henry (10),TEN,,,,,
RB2,Tyjae Spears (171),TEN,,,,,
RB3,Julius Chestnut (281),TEN,,,,,
WR1,DeAndre Hopkins (43),TEN,,,,,
WR2,Treylon Burks (97),TEN,,,,,
WR3,Nick Westbrook-Ikhine (263),TEN,,,,,
WR4,-,TEN,,,,,
TE1,Chigoziem Okonkwo (134),TEN,,,,,
TE2,-,TEN,,,,,
K,Nick Folk (347),TEN,,,,,
QB1,Jimmy Garoppolo (220),OAK,,,,,
QB2,Brian Hoyer (340),OAK,,,,,
RB1,Josh Jacobs (19),OAK,,,,,
RB2,Ameer Abdullah (237),OAK,,,,,
RB3,Zamir White (264),OAK,,,,,
WR1,Davante Adams (7),OAK,,,,,
WR2,Jakobi Meyers (99),OAK,,,,,
WR3,Hunter Renfrow (173),OAK,,,,,
WR4,-,OAK,,,,,
TE1,Michael Mayer (290),OAK,,,,,
TE2,Austin Hooper (293),OAK,,,,,
K,Daniel Carlson (152),OAK,,,,,
QB1,Dak Prescott (102),DAL,,,,,
QB2,Trey Lance (337),DAL,,,,,
RB1,Tony Pollard (12),DAL,,,,,
RB2,Ronald Jones II (235),DAL,,,,,
RB3,Rico Dowdle (236),DAL,,,,,
WR1,CeeDee Lamb (15),DAL,,,,,
WR2,Brandin Cooks (82),DAL,,,,,
WR3,Michael Gallup (121),DAL,,,,,
WR4,-,DAL,,,,,
TE1,Jake Ferguson (292),DAL,,,,,
TE2,Luke Schoonmaker (325),DAL,,,,,
K,Brandon Aubrey (357),DAL,,,,,
QB1,Justin Fields (56),CHI,,,,,
QB2,-,CHI,,,,,
RB1,Khalil Herbert (87),CHI,,,,,
RB2,Roschon Johnson (161),CHI,,,,,
RB3,D'Onta Foreman (168),CHI,,,,,
WR1,DJ Moore (57),CHI,,,,,
WR2,Darnell Mooney (118),CHI,,,,,
WR3,Chase Claypool (176),CHI,,,,,
WR4,-,CHI,,,,,
TE1,Cole Kmet (95),CHI,,,,,
TE2,-,CHI,,,,,
K,Cairo Santos (224),CHI,,,,,
QB1,Baker Mayfield (296),TB,,,,,
QB2,Kyle Trask (301),TB,,,,,
RB1,Rachaad White (47),TB,,,,,
RB2,Chase Edmonds (209),TB,,,,,
RB3,Ke'Shawn Vaughn (282),TB,,,,,
WR1,Chris Godwin (44),TB,,,,,
WR2,Mike Evans (58),TB,,,,,
WR3,Deven Thompkins (274),TB,,,,,
WR4,-,TB,,,,,
TE1,Cade Otton (258),TB,,,,,
TE2,Ko Kieft (333),TB,,,,,
K,Chase McLaughlin (355),TB,,,,,
QB1,Brock Purdy (266),SF,,,,,
QB2,Sam Darnold (316),SF,,,,,
RB1,Christian McCaffrey (4),SF,,,,,
RB2,Elijah Mitchell (129),SF,,,,,
RB3,-,SF,,,,,
WR1,Deebo Samuel (35),SF,,,,,
WR2,Brandon Aiyuk (69),SF,,,,,
WR3,Jauan Jennings (275),SF,,,,,
WR4,-,SF,,,,,
TE1,George Kittle (70),SF,,,,,
TE2,-,SF,,,,,
K,Jake Moody (256),SF,,,,,
QB1,Jalen Hurts (28),PHI,,,,,
QB2,Marcus Mariota (335),PHI,,,,,
RB1,D'Andre Swift (89),PHI,,,,,
RB2,Rashaad Penny (113),PHI,,,,,
RB3,Kenneth Gainwell (165),PHI,,,,,
WR1,A.J. Brown (18),PHI,,,,,
WR2,DeVonta Smith (25),PHI,,,,,
WR3,Quez Watkins (271),PHI,,,,,
WR4,-,PHI,,,,,
TE1,Dallas Goedert (72),PHI,,,,,
TE2,-,PHI,,,,,
K,Jake Elliott (158),PHI,,,,,
QB1,Jared Goff (184),DET,,,,,
QB2,-,DET,,,,,
RB1,Jahmyr Gibbs (31),DET,,,,,
RB2,David Montgomery (75),DET,,,,,
RB3,Craig Reynolds (213),DET,,,,,
WR1,Amon-Ra St. Brown (17),DET,,,,,
WR2,Jameson Williams (194),DET,,,,,
WR3,Marvin Jones Jr. (216),DET,,,,,
WR4,Josh Reynolds (295),DET,,,,,
TE1,Sam LaPorta (187),DET,,,,,
TE2,-,DET,,,,,
K,Riley Patterson (288),DET,,,,,
QB1,Desmond Ridder (270),ATL,,,,,
QB2,Taylor Heinicke (317),ATL,,,,,
RB1,Bijan Robinson (8),ATL,,,,,
RB2,Tyler Allgeier (132),ATL,,,,,
RB3,Cordarrelle Patterson (204),ATL,,,,,
WR1,Drake London (68),ATL,,,,,
WR2,Mack Hollins (229),ATL,,,,,
WR3,-,ATL,,,,,
WR4,-,ATL,,,,,
TE1,Kyle Pitts (71),ATL,,,,,
TE2,Jonnu Smith (323),ATL,,,,,
K,Younghoe Koo (160),ATL,,,,,
QB1,Kyler Murray (215),ARI,,,,,
QB2,Joshua Dobbs (302),ARI,,,,,
RB1,James Conner (51),ARI,,,,,
RB2,Keaontay Ingram (208),ARI,,,,,
RB3,Emari Demercado (241),ARI,,,,,
WR1,Marquise Brown (66),ARI,,,,,
WR2,Rondale Moore (109),ARI,,,,,
WR3,Michael Wilson (225),ARI,,,,,
WR4,-,ARI,,,,,
TE1,Zach Ertz (185),ARI,,,,,
TE2,Trey McBride (291),ARI,,,,,
K,Matt Prater (349),ARI,,,,,
QB1,Daniel Jones (104),NYG,,,,,
