depthChart,name rank,team
QB1,Josh Allen (50),BUF
QB2,Mitchell Trubisky (337),BUF
RB1,Zack Moss (99),BUF
RB2,Devin Singletary (123),BUF
RB3,Matt Breida (321),BUF
WR1,Stefon Diggs (16),BUF
WR2,Cole Beasley (117),BUF
WR3,Gabriel Davis (163),BUF
WR4,Emmanuel Sanders (164),BUF
TE1,Dawson Knox (293),BUF
TE2,Jacob Hollister (331),BUF
QB1,Joe Burrow (133),CIN
QB2,-,CIN
RB1,Joe Mixon (22),CIN
RB2,Samaje Perine (236),CIN
RB3,Chris Evans (280),CIN
WR1,Tee Higgins (46),CIN
WR2,Ja'Marr Chase (66),CIN
WR3,Tyler Boyd (74),CIN
WR4,-,CIN
TE1,C.J. Uzomah (257),CIN
TE2,-,CIN
QB1,Carson Wentz (267),IND
QB2,Jacob Eason (318),IND
RB1,Jonathan Taylor (9),IND
RB2,Nyheim Hines (112),IND
RB3,Marlon Mack (207),IND
WR1,Michael Pittman Jr. (118),IND
WR2,Parris Campbell (126),IND
WR3,T.Y. Hilton (127),IND
WR4,-,IND
TE1,Jack Doyle (289),IND
TE2,Mo Alie-Cox (328),IND
QB1,Drew Lock (270),DEN
QB2,Teddy Bridgewater (316),DEN
RB1,Javonte Williams (52),DEN
RB2,Melvin Gordon (100),DEN
RB3,Mike Boone (306),DEN
WR1,Courtland Sutton (56),DEN
WR2,Jerry Jeudy (64),DEN
WR3,KJ Hamler (231),DEN
WR4,Tim Patrick (274),DEN
TE1,Noah Fant (83),DEN
TE2,-,DEN
QB1,Baker Mayfield (146),CLE
QB2,-,CLE
RB1,Nick Chubb (12),CLE
RB2,Kareem Hunt (53),CLE
RB3,D'Ernest Johnson (309),CLE
WR1,Odell Beckham Jr. (57),CLE
WR2,Jarvis Landry (89),CLE
WR3,Donovan Peoples-Jones (273),CLE
WR4,-,CLE
TE1,Austin Hooper (143),CLE
TE2,Harrison Bryant (329),CLE
QB1,Tua Tagovailoa (134),MIA
QB2,Jacoby Brissett (336),MIA
RB1,Myles Gaskin (54),MIA
